,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
52,Mainz 05,0,0.86,13,5,3,4.22,1.61,Werder Bremen,2,0.56,8,4,1,16.11,1.02
53,Wolfsburg,1,2.12,27,6,11,4.86,2.15,Werder Bremen,2,1.05,7,3,3,26.17,0.63
54,Werder Bremen,2,2.00,9,4,8,11.05,1.61,Darmstadt,0,1.68,15,3,8,4.43,1.13
55,Bayer Leverkusen,1,1.64,12,7,4,11.89,1.94,Werder Bremen,1,0.98,11,3,7,10.85,0.79
56,Werder Bremen,3,1.39,9,4,4,10.04,2.12,RasenBallsport Leipzig,0,0.69,7,2,9,5.88,0.59
57,Freiburg,2,1.77,13,4,3,11.53,2.01,Werder Bremen,5,1.03,11,7,5,20.29,0.73
58,Werder Bremen,3,2.02,11,6,9,17.10,2.41,Schalke 04,0,0.73,15,3,3,7.18,0.42
59,Eintracht Frankfurt,2,2.52,16,7,7,4.15,2.71,Werder Bremen,2,0.55,8,4,6,14.19,0.19
60,Werder Bremen,2,1.74,13,5,6,5.83,2.22,Hamburger SV,1,0.70,6,4,1,6.85,0.55
61,Ingolstadt,2,2.23,15,5,9,7.59,1.36,Werder Bremen,4,2.21,10,5,8,10.50,1.39
62,Werder Bremen,2,1.83,9,4,4,18.95,2.23,Hertha Berlin,0,0.76,10,2,2,7.97,0.55
63,FC Cologne,4,2.86,15,9,4,10.86,2.24,Werder Bremen,3,1.60,11,4,12,8.79,0.58
64,Werder Bremen,3,1.45,16,7,9,9.14,1.74,Hoffenheim,5,1.01,16,9,3,15.00,0.99
65,Borussia Dortmund,4,4.35,28,11,14,5.70,2.75,Werder Bremen,3,1.64,11,5,12,16.80,0.18
66,Augsburg,0,0.45,13,2,4,9.90,1.04,Wolfsburg,2,0.71,12,6,2,17.21,1.54
67,Augsburg,1,0.83,12,5,2,5.32,0.72,Mainz 05,3,1.54,11,6,3,9.33,2.00
68,Bayer Leverkusen,0,2.03,14,6,15,4.72,2.74,Augsburg,0,0.23,5,2,0,13.60,0.16
69,Augsburg,1,1.95,19,6,8,5.00,2.69,Darmstadt,0,0.13,5,0,3,17.55,0.18
70,RasenBallsport Leipzig,2,1.04,17,10,7,6.97,2.00,Augsburg,1,0.31,6,2,2,9.82,0.66
71,Augsburg,1,0.41,11,5,2,7.73,0.97,Schalke 04,1,0.73,12,3,3,8.93,1.61
72,Freiburg,2,1.53,12,5,9,13.47,1.64,Augsburg,1,1.23,14,6,4,15.10,1.04
73,Ingolstadt,0,0.59,15,5,5,8.83,0.79,Augsburg,2,1.16,13,5,4,10.25,1.90
74,Augsburg,0,1.10,9,3,2,17.90,1.05,Hertha Berlin,0,1.42,10,4,2,9.86,1.63
75,FC Cologne,0,1.39,18,5,4,6.95,2.11,Augsburg,0,0.51,13,2,2,16.35,0.62
76,Augsburg,1,0.67,14,5,1,9.61,1.57,Eintracht Frankfurt,1,0.39,7,4,2,6.70,1.00
77,Hamburger SV,1,0.89,12,5,6,8.50,1.27,Augsburg,0,0.95,11,1,5,6.64,1.40
78,Augsburg,1,0.35,8,1,3,15.37,1.28,B. Monchengladbach,0,0.28,8,3,1,9.66,1.14
79,Borussia Dortmund,1,1.98,23,8,10,4.32,1.94,Augsburg,1,1.18,8,3,2,14.88,0.81
80,Augsburg,0,0.45,10,2,2,8.19,0.29,Hoffenheim,2,1.89,13,3,4,16.80,2.56
81,Wolfsburg,1,1.52,11,5,4,7.03,0.95,Augsburg,2,2.03,11,5,1,13.40,1.79
82,Mainz 05,2,1.64,8,4,6,6.55,2.46,Augsburg,0,0.43,10,6,3,5.36,0.36
83,Augsburg,1,1.45,12,4,4,5.72,0.36,Bayer Leverkusen,3,3.28,20,10,13,6.81,2.51
84,Darmstadt,1,0.68,5,2,8,6.10,0.43,Augsburg,2,1.82,18,3,7,7.45,2.35
85,Augsburg,2,0.83,7,2,2,8.14,0.88,RasenBallsport Leipzig,2,1.38,12,5,8,4.48,1.81
86,Schalke 04,3,3.77,25,7,13,5.92,2.83,Augsburg,0,1.05,9,3,5,14.20,0.11
87,Augsburg,1,1.14,15,3,1,5.71,1.36,Freiburg,1,1.04,7,3,4,7.10,1.30
88,Augsburg,2,1.36,13,5,2,5.79,1.03,Ingolstadt,3,1.77,13,6,6,7.18,1.69
89,Hertha Berlin,2,1.88,18,8,6,9.62,2.33,Augsburg,0,0.67,5,0,2,9.76,0.45
90,Augsburg,2,1.09,7,6,2,7.97,0.99,FC Cologne,1,1.40,12,0,4,4.30,1.61
91,Eintracht Frankfurt,3,2.02,20,7,15,3.65,2.24,Augsburg,1,0.79,10,4,1,18.41,0.55
92,Augsburg,4,2.14,17,9,4,5.10,2.81,Hamburger SV,0,0.29,9,4,4,7.72,0.11
93,B. Monchengladbach,1,1.37,18,5,8,8.05,1.18,Augsburg,1,1.59,11,4,2,14.86,1.54
94,Augsburg,1,1.27,5,3,3,16.26,0.95,Borussia Dortmund,1,1.75,16,5,14,5.88,1.74
95,Hoffenheim,0,0.83,19,9,6,4.36,1.86,Augsburg,0,0.26,8,2,4,31.56,0.74
96,Wolfsburg,0,0.91,19,4,5,12.00,0.96,FC Cologne,0,1.37,16,9,4,24.83,1.77
97,Hoffenheim,0,1.94,20,5,4,6.94,1.08,Wolfsburg,0,2.35,21,9,9,9.37,1.68
