,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
348,cat348,1,,33,,,0,,5,,3,1,0,0,,2,1,,Arouca,,1,05.02.2017 17:00,Primeira Liga - Round 20,cat348,2,,67,,,2,,9,,3,1,0,1,,2,1,,Vitoria Setubal,,3,05.02.2017 17:00,Primeira Liga - Round 20
349,cat349,1,,45,,,2,,12,,9,4,2,1,,5,4,,Arouca,,,05.02.2017 17:00,Primeira Liga - Round 20,cat349,2,,55,,,4,,2,,12,2,1,0,,7,5,,Vitoria Setubal,,,05.02.2017 17:00,Primeira Liga - Round 20
350,cat350,1,,63,,,3,,10,,4,0,1,2,,1,3,,Benfica,,1,05.02.2017 19:00,Primeira Liga - Round 20,cat350,2,,37,,,1,,6,,2,2,0,2,,2,0,,Nacional,,3,05.02.2017 19:00,Primeira Liga - Round 20
351,cat351,1,,65,,,5,,7,,7,0,2,1,,2,5,,Benfica,,1,05.02.2017 19:00,Primeira Liga - Round 20,cat351,2,,35,,,1,,11,,2,3,0,4,,2,0,,Nacional,,2,05.02.2017 19:00,Primeira Liga - Round 20
352,cat352,1,,60,,,3,,12,,7,2,0,0,0,4,3,,Belenenses,,2,05.02.2017 21:15,Primeira Liga - Round 20,cat352,2,,40,,,2,,11,,6,3,0,0,2,4,2,,Tondela,,2,05.02.2017 21:15,Primeira Liga - Round 20
353,cat353,1,,60,,,1,,7,,3,0,0,0,,1,2,,Belenenses,,1,05.02.2017 21:15,Primeira Liga - Round 20,cat353,2,,40,,,0,,16,,4,2,0,1,,4,0,,Tondela,,4,05.02.2017 21:15,Primeira Liga - Round 20
354,cat354,1,,50,,,5,,9,,7,0,0,0,,6,1,,Maritimo,,2,06.02.2017 20:00,Primeira Liga - Round 20,cat354,2,,50,,,2,,15,,3,1,0,1,,3,0,,Moreirense,,1,06.02.2017 20:00,Primeira Liga - Round 20
355,cat355,1,,54,,,0,,5,,3,1,1,1,,1,2,,Maritimo,,1,06.02.2017 20:00,Primeira Liga - Round 20,cat355,2,,46,,,4,,10,,2,1,0,0,,1,1,,Moreirense,,1,06.02.2017 20:00,Primeira Liga - Round 20
356,cat356,1,,17,,,1,,9,,3,2,1,4,,2,1,,Feirense,,3,06.02.2017 22:00,Primeira Liga - Round 20,cat356,2,,83,,,6,,10,,8,0,1,1,,5,3,,Rio Ave,,1,06.02.2017 22:00,Primeira Liga - Round 20
357,cat357,1,,33,,,1,,11,,4,2,1,1,,2,2,,Feirense,,,06.02.2017 22:00,Primeira Liga - Round 20,cat357,2,,67,,,5,,8,,4,1,0,1,,2,2,,Rio Ave,,,06.02.2017 22:00,Primeira Liga - Round 20
358,cat358,1,,63,,,4,,14,,9,1,1,3,,5,4,,Braga,,2,06.02.2017 22:00,Primeira Liga - Round 20,cat358,2,,37,,,1,,12,,3,3,0,0,,2,1,,Estoril,,3,06.02.2017 22:00,Primeira Liga - Round 20
359,cat359,1,,53,,,7,,6,,3,1,0,1,,1,2,,Braga,,1,06.02.2017 22:00,Primeira Liga - Round 20,cat359,2,,47,,,5,,9,,3,2,1,1,,1,2,,Estoril,,1,06.02.2017 22:00,Primeira Liga - Round 20
360,cat360,1,,44,,,1,,5,,3,1,1,0,,2,1,,Benfica,,0,10.02.2017 21:30,Primeira Liga - Round 21,cat360,2,,56,,,2,,12,,5,0,0,1,,4,1,,Arouca,,1,10.02.2017 21:30,Primeira Liga - Round 21
361,cat361,1,,70,,,2,,7,,10,2,2,1,1,3,7,,Benfica,,0,10.02.2017 21:30,Primeira Liga - Round 21,cat361,2,,30,,,2,,5,,3,5,0,4,0,1,2,,Arouca,,1,10.02.2017 21:30,Primeira Liga - Round 21
362,cat362,1,,57,,,3,,11,,7,1,0,0,0,6,1,,Tondela,,2,11.02.2017 12:45,Primeira Liga - Round 21,cat362,2,,43,,,3,,5,,4,1,1,2,1,2,2,,Feirense,,2,11.02.2017 12:45,Primeira Liga - Round 21
363,cat363,1,,57,,,5,,8,,8,1,0,2,,2,6,,Tondela,,1,11.02.2017 12:45,Primeira Liga - Round 21,cat363,2,,43,,,2,,13,,4,6,0,0,,3,1,,Feirense,,1,11.02.2017 12:45,Primeira Liga - Round 21
