,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
322,Rennes,1,1.24,7,4,3,9.11,0.34,Guingamp,1,3.02,23,9,8,9.83,2.52
323,Strasbourg,0,1.62,19,6,8,15.40,1.96,Rennes,2,0.91,11,6,5,12.04,0.78
324,Saint-Etienne,2,0.93,11,6,2,13.20,0.94,Guingamp,1,1.37,11,5,5,11.94,1.76
325,Guingamp,1,1.35,11,3,8,15.38,0.56,Paris Saint Germain,3,2.62,17,7,12,3.73,2.26
326,Guingamp,1,2.06,18,5,3,8.25,2.34,Bordeaux,3,0.81,11,6,5,8.09,0.47
327,Caen,0,0.66,5,2,5,6.63,1.59,Guingamp,0,0.42,7,2,6,27.29,0.98
328,Guingamp,1,1.21,10,4,5,19.38,1.20,Strasbourg,1,1.34,12,5,2,10.31,1.48
329,Guingamp,2,1.29,9,2,2,12.31,1.18,Lyon,4,1.51,19,6,5,5.68,1.51
330,Guingamp,1,1.13,18,2,9,4.29,0.94,Amiens,2,1.58,11,3,3,7.32,1.79
331,Guingamp,0,0.56,10,2,7,10.03,1.26,Saint-Etienne,1,0.57,4,2,3,10.90,1.31
332,Paris Saint Germain,9,5.86,26,12,26,5.11,3.00,Guingamp,0,0.03,2,0,2,31.13,0.00
333,Lyon,2,1.57,18,9,12,8.61,1.07,Guingamp,1,1.95,14,3,6,20.45,1.66
334,Bordeaux,0,1.38,11,4,8,5.53,1.44,Guingamp,0,1.29,13,1,2,10.22,1.26
335,Strasbourg,3,1.68,11,6,5,4.90,0.93,Guingamp,3,2.27,15,5,3,17.79,1.82
336,Guingamp,0,0.38,10,1,2,3.69,1.61,Caen,0,0.03,1,0,2,15.93,0.72
337,Amiens,2,2.96,19,9,8,11.07,2.49,Guingamp,1,1.22,16,4,3,7.81,0.37
338,Lyon,2,1.31,15,7,4,6.13,2.25,Amiens,0,0.29,10,1,0,15.61,0.48
339,Lyon,2,1.24,22,10,9,7.38,2.07,Strasbourg,0,0.39,9,1,4,11.20,0.63
340,Caen,2,1.82,18,4,3,13.29,2.08,Lyon,2,1.01,17,6,4,5.59,0.67
341,Paris Saint Germain,5,4.44,14,8,11,8.29,2.78,Lyon,0,1.63,16,6,6,9.66,0.16
342,Lyon,1,0.29,6,2,3,10.52,0.57,Bordeaux,1,1.09,17,3,1,8.61,2.12
343,Lyon,1,0.65,13,1,2,8.48,0.77,Saint-Etienne,0,1.31,16,3,4,8.77,1.95
344,Saint-Etienne,1,3.05,15,9,4,8.46,1.94,Lyon,2,2.24,23,7,10,5.48,0.86
