,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
74,cat78,1.0,,58,3,,4,,2,7,8,1,0,3,,2,3,,Montpellier,,0,29.04.2017 20:00,Ligue 1 - Round 35,cat78,2.0,,42,3,,3,,7,4,7,3,1,0,,2,2,,Lille,,1,29.04.2017 20:00,Ligue 1 - Round 35
75,cat79,1.0,,56,2,,4,,5,7,10,1,0,0,,4,4,,Montpellier,,1,29.04.2017 20:00,Ligue 1 - Round 35,cat79,2.0,,44,1,,0,,7,5,4,4,2,0,,0,3,,Lille,,1,29.04.2017 20:00,Ligue 1 - Round 35
76,cat80,1.0,,55,0,,3,,7,7,9,0,0,1,,5,4,,Nantes,,0,29.04.2017 20:00,Ligue 1 - Round 35,cat80,2.0,,45,2,,6,,6,9,3,4,0,1,,1,0,,Lorient,,1,29.04.2017 20:00,Ligue 1 - Round 35
77,cat81,1.0,,70,0,,2,,3,4,6,0,1,3,,3,3,,Nantes,,0,29.04.2017 20:00,Ligue 1 - Round 35,cat81,2.0,,30,0,,0,,4,6,1,2,0,0,,1,0,,Lorient,,1,29.04.2017 20:00,Ligue 1 - Round 35
78,cat82,1.0,,67,2,,4,,5,11,7,0,0,3,,3,2,,Monaco,,0,29.04.2017 17:00,Ligue 1 - Round 35,cat82,2.0,,33,0,,1,,11,7,2,2,0,0,,2,0,,Toulouse,,3,29.04.2017 17:00,Ligue 1 - Round 35
79,cat83,1.0,,65,5,,7,,3,6,21,2,3,2,,7,9,,Monaco,,1,29.04.2017 17:00,Ligue 1 - Round 35,cat83,2.0,,35,1,,1,,4,5,5,6,1,1,,1,3,,Toulouse,,1,29.04.2017 17:00,Ligue 1 - Round 35
80,cat84,1.0,,45,4,,6,,6,7,11,0,0,4,,3,4,,Angers,,0,28.04.2017 20:45,Ligue 1 - Round 35,cat84,2.0,,55,0,,0,,7,10,2,4,2,0,,0,2,,Lyon,,3,28.04.2017 20:45,Ligue 1 - Round 35
81,cat85,1.0,,45,3,,2,,8,6,12,1,1,1,1,6,3,,Angers,,2,28.04.2017 20:45,Ligue 1 - Round 35,cat85,2.0,,55,2,,8,,4,9,6,2,0,2,0,3,1,,Lyon,,0,28.04.2017 20:45,Ligue 1 - Round 35
82,cat86,1.0,,52,0,,0,,3,4,2,2,0,2,,1,1,,Lyon,,1,23.04.2017 21:15,Ligue 1 - Round 34,cat86,2.0,,48,0,,4,,2,5,9,1,2,2,,5,4,,Monaco,,0,23.04.2017 21:15,Ligue 1 - Round 34
83,cat87,1.0,,56,2,,7,,11,11,6,2,1,2,,2,2,,Lyon,,1,23.04.2017 21:15,Ligue 1 - Round 34,cat87,2.0,,44,2,,2,,10,12,5,1,0,1,,1,2,,Monaco,,1,23.04.2017 21:15,Ligue 1 - Round 34
